Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,220uf,
C2,C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,1,C,
D1,D_5W_P12.70mm_Horizontal,1,D,
D2,LED_D3.0mm,1,LED,
J1,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
J2,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,UPDI,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470OHM,
"R2, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1K,
"R3, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,22R,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,CH330N,
